gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,daily_charges_estimate,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Churn_Real,Churn_Prob,Churn_Pred,tenure_rango,MonthlyCharges_rango,Contract,InternetService
1,0,0,0,14,1,0,75.35,1025.95,2.5116666666666663,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1.0,0.6560205815672465,1,13-24,60-80,Month-to-month,Fiber optic
0,0,0,0,3,1,1,73.6,232.5,2.453333333333333,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.6822349750802722,1,0-12,60-80,Month-to-month,Fiber optic
0,0,1,1,24,1,0,54.75,1338.15,1.825,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.4149466885902626,1,13-24,40-60,Month-to-month,DSL
0,0,0,0,8,0,0,29.35,216.45,0.9783333333333334,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.40820647024938017,1,0-12,20-40,Month-to-month,DSL
0,1,1,0,5,1,1,79.9,343.95,2.6633333333333336,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.0,0.8528245767015373,1,0-12,60-80,Month-to-month,Fiber optic
1,1,0,0,4,1,1,88.85,372.45,2.9616666666666664,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,1.0,0.8878163372301993,1,0-12,80-100,Month-to-month,Fiber optic
1,1,1,0,43,1,1,109.55,4830.25,3.6516666666666655,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,1.0,0.595679504173679,1,37-48,100-120,One year,Fiber optic
0,0,0,0,15,1,0,51.55,765.5,1.7183333333333333,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.5096600187679684,1,13-24,40-60,Month-to-month,DSL
0,0,0,1,1,0,0,33.6,33.6,1.12,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0.0,0.5571029035252864,1,0-12,20-40,Month-to-month,DSL
0,0,0,0,7,1,0,73.6,520.0,2.453333333333333,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.7986465117582264,1,0-12,60-80,Month-to-month,Fiber optic
0,0,0,0,64,1,1,104.65,6889.8,3.4883333333333337,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,0.0,0.41803387281422405,1,61-72,100-120,One year,Fiber optic
1,1,0,0,46,1,1,110.0,4874.8,3.6666666666666665,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,1.0,0.6118664778671719,1,37-48,100-120,One year,Fiber optic
0,0,0,0,6,1,1,85.35,489.45,2.845,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1.0,0.8430976518625328,1,0-12,80-100,Month-to-month,Fiber optic
1,0,0,0,8,1,0,49.4,408.25,1.6466666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.4938280420758943,1,0-12,40-60,Month-to-month,DSL
0,1,0,0,8,1,1,81.25,585.95,2.708333333333333,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1.0,0.8407605946134634,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,1,1,1,45.55,45.55,1.518333333333333,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.7629665359364186,1,0-12,40-60,Month-to-month,DSL
0,1,0,0,20,1,0,71.3,1389.2,2.3766666666666665,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.569228839794098,1,13-24,60-80,Month-to-month,Fiber optic
1,0,1,1,13,1,0,55.95,734.35,1.865,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0,0.6021890142976736,1,13-24,40-60,Month-to-month,DSL
0,0,1,1,25,1,1,90.4,2178.6,3.0133333333333336,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1.0,0.6039104115768507,1,25-36,80-100,One year,Fiber optic
0,1,0,0,15,1,1,74.4,1074.3,2.48,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1.0,0.8031413311258693,1,13-24,60-80,Month-to-month,Fiber optic
0,0,1,0,3,1,1,20.55,51.15,0.685,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,1.0,0.4348416145326923,1,0-12,20-40,Month-to-month,No
1,1,1,0,32,1,1,93.2,2931.0,3.106666666666667,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,1.0,0.7362875450084015,1,25-36,80-100,Month-to-month,Fiber optic
1,1,1,0,18,1,0,99.75,1836.25,3.325,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,1.0,0.7154189035503155,1,13-24,80-100,Month-to-month,Fiber optic
1,0,0,0,2,1,1,59.0,114.15,1.9666666666666663,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,0.0,0.4974570213585189,1,0-12,40-60,Month-to-month,DSL
0,0,1,0,42,1,1,108.3,4586.15,3.61,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,0.0,0.645011383630471,1,37-48,100-120,One year,Fiber optic
0,0,0,0,3,1,1,74.4,229.55,2.48,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.8741204294312268,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,4,1,0,50.7,151.3,1.6900000000000002,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1.0,0.6776106040446785,1,0-12,40-60,Month-to-month,DSL
1,1,0,0,11,1,1,55.6,580.8,1.8533333333333333,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.3892608022507633,1,0-12,40-60,Month-to-month,DSL
1,1,0,0,2,1,1,70.2,115.95,2.3400000000000003,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.8563773937694709,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,2,0,1,34.7,62.25,1.1566666666666667,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0,0.8913157886613365,1,0-12,20-40,Month-to-month,DSL
0,0,0,0,38,1,1,104.85,3887.25,3.495,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,0.0,0.4836376947406737,1,37-48,100-120,One year,Fiber optic
0,1,0,0,64,1,0,102.1,6688.1,3.4033333333333333,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,0.0,0.48821969027703077,1,61-72,100-120,One year,Fiber optic
1,0,0,0,1,1,1,74.5,74.5,2.4833333333333334,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.9391519882918367,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,1,18,0,1,35.0,553.0,1.1666666666666667,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0,0.63920561455031,1,13-24,20-40,Month-to-month,DSL
0,1,1,0,52,1,1,104.2,5568.35,3.4733333333333336,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1.0,0.6890371236692894,1,49-60,100-120,Month-to-month,Fiber optic
0,0,0,0,22,1,1,69.7,1490.4,2.3233333333333333,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.4333702739358147,1,13-24,60-80,Month-to-month,Fiber optic
1,0,0,0,2,1,1,45.25,74.2,1.5083333333333333,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.7481934449257085,1,0-12,40-60,Month-to-month,DSL
1,1,0,0,20,1,1,85.8,1727.5,2.86,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0,0.6958083043494898,1,13-24,80-100,Month-to-month,Fiber optic
0,0,1,1,71,1,1,106.0,7723.7,3.533333333333333,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,1.0,0.44033695242437126,1,61-72,100-120,Two year,Fiber optic
0,0,0,0,1,1,0,20.15,20.15,0.6716666666666666,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,1.0,0.6196204688853769,1,0-12,20-40,Month-to-month,No
0,0,0,0,8,1,1,59.25,436.6,1.975,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,0.46117562551052205,1,0-12,40-60,Month-to-month,DSL
1,0,0,0,4,1,1,70.9,273.0,2.3633333333333337,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.8209691347870183,1,0-12,60-80,Month-to-month,Fiber optic
1,0,1,0,8,1,1,85.2,627.4,2.8400000000000003,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0,0.8183631989516313,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,2,1,0,44.35,81.25,1.4783333333333333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.7390192512629303,1,0-12,40-60,Month-to-month,DSL
1,0,0,0,29,0,1,30.6,856.35,1.02,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1.0,0.530728574952371,1,25-36,20-40,Month-to-month,DSL
0,0,1,0,58,1,0,100.35,5681.1,3.345,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,0.0,0.3551745901988155,1,49-60,100-120,One year,Fiber optic
1,0,0,0,2,1,0,44.45,82.7,1.481666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.7189773035388091,1,0-12,40-60,Month-to-month,DSL
0,0,1,1,67,1,1,105.4,6989.45,3.5133333333333336,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,0.0,0.4165544848381358,1,61-72,100-120,One year,Fiber optic
1,0,0,0,4,1,0,55.2,220.65,1.84,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,0.5662066709232803,1,0-12,40-60,Month-to-month,DSL
0,0,0,0,5,1,1,96.1,453.4,3.203333333333333,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,1.0,0.8411326409377619,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,16,1,1,69.95,1205.5,2.3316666666666666,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.4927319747078173,1,13-24,60-80,Month-to-month,Fiber optic
0,0,0,0,1,1,0,70.4,70.4,2.3466666666666667,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.8916797605223059,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,35,0,0,24.15,812.5,0.8049999999999999,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.4032288699966841,1,25-36,20-40,Month-to-month,DSL
1,0,0,0,1,1,1,77.15,77.15,2.5716666666666668,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.9498795308666117,1,0-12,60-80,Month-to-month,Fiber optic
0,1,1,0,60,1,1,99.0,6017.9,3.3,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.0,0.523164881507775,1,49-60,80-100,Month-to-month,Fiber optic
0,1,0,0,12,1,1,99.45,1200.15,3.315,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1.0,0.8990928593908499,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,2,1,0,46.05,80.35,1.535,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.7444849715065396,1,0-12,40-60,Month-to-month,DSL
0,0,0,0,1,1,0,19.95,19.95,0.6649999999999999,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,1.0,0.6154757563489,1,0-12,0-20,Month-to-month,No
1,0,0,0,2,1,1,79.65,152.7,2.655,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1.0,0.867004145400913,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,15,1,1,25.4,399.6,0.8466666666666666,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,1.0,0.46848532835304996,1,13-24,20-40,Month-to-month,No
1,0,0,0,2,1,1,74.9,136.05,2.496666666666667,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.8897705077148491,1,0-12,60-80,Month-to-month,Fiber optic
1,0,1,1,64,1,1,111.45,7266.95,3.715,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,0.0,0.39018767045395136,1,61-72,100-120,One year,Fiber optic
1,1,1,0,42,1,1,95.05,3944.5,3.168333333333333,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,0.0,0.710711640745131,1,37-48,80-100,Month-to-month,Fiber optic
1,1,0,0,3,1,0,75.05,202.9,2.5016666666666665,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.7259613766284226,1,0-12,60-80,Month-to-month,Fiber optic
1,1,1,0,58,1,1,105.5,6205.5,3.5166666666666666,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,1.0,0.4755689228510232,1,49-60,100-120,One year,Fiber optic
1,0,1,1,8,1,1,45.45,411.75,1.515,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.5622229387363256,1,0-12,40-60,Month-to-month,DSL
1,0,1,1,4,1,1,78.9,299.75,2.6300000000000003,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.7723078953010318,1,0-12,60-80,Month-to-month,Fiber optic
0,1,0,0,1,1,0,45.2,45.2,1.5066666666666668,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.7540885482742442,1,0-12,40-60,Month-to-month,DSL
1,0,0,0,3,1,1,99.0,287.4,3.3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,1.0,0.8231887527231758,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,49,1,1,74.6,3720.35,2.4866666666666664,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.44376330563136324,1,49-60,60-80,Month-to-month,Fiber optic
0,0,0,0,49,1,1,103.7,5036.3,3.4566666666666666,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,1.0,0.658055366309943,1,49-60,100-120,Month-to-month,Fiber optic
1,0,0,0,4,1,1,79.15,317.25,2.6383333333333336,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0,0.8730935897004034,1,0-12,60-80,Month-to-month,Fiber optic
0,0,1,1,1,1,0,19.95,19.95,0.6649999999999999,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,1.0,0.43600408440336014,1,0-12,0-20,Month-to-month,No
1,0,0,0,11,1,1,79.0,929.3,2.6333333333333333,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.6068617524264196,1,0-12,60-80,Month-to-month,Fiber optic
0,0,1,0,34,1,0,88.85,3000.25,2.9616666666666664,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0.0,0.42622342384733225,1,25-36,80-100,Month-to-month,Fiber optic
0,0,0,0,10,0,0,29.5,255.25,0.9833333333333332,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0,0.6214175158802573,1,0-12,20-40,Month-to-month,DSL
0,0,1,1,2,1,0,19.85,35.9,0.6616666666666667,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,1.0,0.42757411172813015,1,0-12,0-20,One year,No
0,0,1,0,5,1,1,89.15,413.25,2.9716666666666667,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.0,0.6720602782303209,1,0-12,80-100,Month-to-month,Fiber optic
1,0,1,1,15,1,1,105.35,1559.25,3.5116666666666663,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,0.0,0.6910726890688623,1,13-24,100-120,Month-to-month,Fiber optic
0,1,1,0,35,1,1,94.55,3365.4,3.1516666666666664,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.0,0.5603246972147835,1,25-36,80-100,Month-to-month,Fiber optic
1,0,0,0,1,1,0,43.95,43.95,1.465,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0,0.6734097417778285,1,0-12,40-60,Month-to-month,DSL
0,0,0,1,11,1,0,86.2,893.2,2.873333333333333,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.0,0.6697817583065208,1,0-12,80-100,Month-to-month,Fiber optic
0,0,0,0,1,1,0,50.8,50.8,1.6933333333333331,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1.0,0.6877317541755216,1,0-12,40-60,Month-to-month,DSL
0,0,1,0,1,1,0,70.0,70.0,2.333333333333333,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.8703104489258121,1,0-12,60-80,Month-to-month,Fiber optic
0,0,0,0,1,1,1,48.55,48.55,1.6183333333333332,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0,0.7155092727926075,1,0-12,40-60,Month-to-month,DSL
1,0,0,0,41,1,1,106.5,4282.4,3.55,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,0.0,0.5624978803556886,1,37-48,100-120,Month-to-month,Fiber optic
1,1,1,0,26,1,1,93.85,2381.55,3.128333333333333,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,1.0,0.7391970948636003,1,25-36,80-100,Month-to-month,Fiber optic
0,1,1,0,6,1,1,80.8,457.1,2.6933333333333334,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.820860171216993,1,0-12,80-100,Month-to-month,Fiber optic
0,0,1,0,1,1,1,74.6,74.6,2.4866666666666664,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.9207544076560841,1,0-12,60-80,Month-to-month,Fiber optic
0,0,0,0,3,1,0,54.65,189.1,1.8216666666666663,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,0.6136215190117954,1,0-12,40-60,Month-to-month,DSL
1,0,0,0,2,0,0,24.5,46.4,0.8166666666666667,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.7655155223845346,1,0-12,20-40,Month-to-month,DSL
1,0,0,0,36,1,1,94.8,3565.65,3.16,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,0.0,0.5319482523129054,1,25-36,80-100,Month-to-month,Fiber optic
0,0,0,0,3,0,0,41.35,107.25,1.3783333333333334,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,0.0,0.5991035176165335,1,0-12,40-60,Month-to-month,DSL
0,0,0,0,31,1,1,81.15,2640.55,2.705,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0,0.6109230537951583,1,25-36,80-100,Month-to-month,Fiber optic
1,1,1,0,28,1,1,101.3,2812.2,3.3766666666666665,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,1.0,0.715339503860702,1,25-36,100-120,Month-to-month,Fiber optic
0,0,0,0,3,0,1,29.75,96.85,0.9916666666666668,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,0.6126794880706448,1,0-12,20-40,Month-to-month,DSL
1,0,0,0,1,1,1,75.7,75.7,2.523333333333333,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1.0,0.9224787497422539,1,0-12,60-80,Month-to-month,Fiber optic
1,1,0,0,7,1,1,48.2,340.35,1.606666666666667,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.6055004123246667,1,0-12,40-60,Month-to-month,DSL
1,0,1,0,60,1,1,106.15,6411.25,3.5383333333333336,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,0.0,0.6271084950743167,1,49-60,100-120,Month-to-month,Fiber optic
0,1,1,0,17,1,0,81.5,1329.2,2.716666666666667,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,0.6300837294291424,1,13-24,80-100,Month-to-month,Fiber optic
1,0,0,0,2,1,1,75.8,160.75,2.5266666666666664,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1.0,0.9047084280806861,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,1,0,0,25.25,25.25,0.8416666666666667,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.7812814537371102,1,0-12,20-40,Month-to-month,DSL
1,0,0,0,1,1,1,45.4,45.4,1.5133333333333332,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.7741424248489804,1,0-12,40-60,Month-to-month,DSL
0,0,0,0,6,1,1,84.4,556.35,2.813333333333333,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1.0,0.818399117420423,1,0-12,80-100,Month-to-month,Fiber optic
0,1,1,0,55,1,1,74.0,4052.4,2.466666666666667,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.5106585467275988,1,49-60,60-80,Month-to-month,Fiber optic
0,0,0,0,3,1,1,101.55,298.35,3.385,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,1.0,0.8957029962606821,1,0-12,100-120,Month-to-month,Fiber optic
1,0,0,0,1,1,0,71.35,71.35,2.378333333333333,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.9178342992282056,1,0-12,60-80,Month-to-month,Fiber optic
1,0,0,0,39,0,1,50.75,2011.4,1.6916666666666669,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,1.0,0.5168487970915883,1,37-48,40-60,Month-to-month,DSL
1,0,1,0,53,1,1,106.1,5769.75,3.536666666666666,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,1.0,0.4723649892988022,1,49-60,100-120,One year,Fiber optic
0,1,0,0,2,1,0,44.95,85.15,1.4983333333333335,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1.0,0.759259281227868,1,0-12,40-60,Month-to-month,DSL
0,0,0,0,23,1,1,104.05,2470.1,3.4683333333333333,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,1.0,0.6816119219904766,1,13-24,100-120,Month-to-month,Fiber optic
1,0,0,0,29,1,0,100.55,2878.75,3.3516666666666666,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,0.0,0.5372741875190199,1,25-36,100-120,Month-to-month,Fiber optic
1,1,1,0,25,1,1,98.5,2514.5,3.283333333333333,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,1.0,0.751944494510431,1,25-36,80-100,Month-to-month,Fiber optic
